iter	RMSE
0	14.66781467
1	14.29048876
2	13.90135081
3	13.56045522
4	13.25056009
5	12.93579857
6	12.63342701
7	12.34678813
8	12.11823641
9	11.8158283
10	11.52805486
11	11.27840746
12	11.07143738
13	10.84334392
14	10.60601617
15	10.37213834
16	10.16753191
17	9.972460665
18	9.777284264
19	9.586641536
20	9.417876398
21	9.245514592
22	9.064124888
23	8.914827643
24	8.762378244
25	8.631468654
26	8.489786972
27	8.35731718
28	8.227175679
29	8.103128101
30	8.001111746
31	7.891191108
32	7.795055525
33	7.690839902
34	7.584281962
35	7.488113848
36	7.391453558
37	7.306499341
38	7.218475382
39	7.141754579
40	7.066764762
41	6.989452249
42	6.918592469
43	6.85937045
44	6.799147602
45	6.741740731
46	6.674849652
47	6.619374951
48	6.563536131
49	6.512013373
50	6.46502989
51	6.417669431
52	6.366154222
53	6.316377864
54	6.274112861
55	6.232292219
56	6.196293909
57	6.16176458
58	6.125493189
59	6.094288864
60	6.063037663
61	6.031663666
62	5.994789746
63	5.958531239
64	5.930664815
65	5.901626559
66	5.872499287
67	5.84298107
68	5.824103313
69	5.800620326
70	5.77744174
71	5.751971531
72	5.731182172
73	5.708772523
74	5.687641714
75	5.67275967
76	5.655997439
77	5.640115745
78	5.622472003
79	5.602350207
80	5.586121344
81	5.574032034
82	5.567270845
83	5.549806776
84	5.534975841
85	5.520286538
86	5.503439197
87	5.492550872
88	5.478455964
89	5.471403331
90	5.455723193
91	5.445528835
92	5.440142708
93	5.426092084
94	5.413753693
95	5.401615736
96	5.393199456
97	5.383365827
98	5.370978246
99	5.362473422
100	5.348227867
101	5.33557227
102	5.328770505
103	5.318801053
104	5.30994892
105	5.300434384
106	5.295642895
107	5.283988252
108	5.27738816
109	5.269843297
110	5.264475125
111	5.258452533
112	5.253057874
113	5.244966016
114	5.239784975
115	5.23305702
116	5.224213595
117	5.221082429
118	5.217615619
119	5.212030673
120	5.204560068
121	5.198111052
122	5.189975984
123	5.185179099
124	5.180179841
125	5.175620885
126	5.167852586
127	5.159810775
128	5.154863424
129	5.146669679
130	5.142761747
131	5.138098664
132	5.133247432
133	5.129446984
134	5.126334122
135	5.122003387
136	5.117980612
137	5.111719291
138	5.107450197
139	5.104427154
140	5.099221961
141	5.092571195
142	5.089415453
143	5.083585072
144	5.078857794
145	5.071752552
146	5.066525581
147	5.064245071
148	5.062499458
149	5.056557082
150	5.049654806
151	5.04362808
152	5.03657859
153	5.034657749
154	5.028607966
155	5.025615736
156	5.021983656
157	5.019366511
158	5.012925707
159	5.005993913
160	4.998954428
161	4.993862146
162	4.987644356
163	4.983500318
164	4.978649592
165	4.972894576
166	4.968604057
167	4.96470862
168	4.960584095
169	4.9587524
170	4.956594636
171	4.953045577
172	4.947724522
173	4.941380042
174	4.939811361
175	4.933878441
176	4.928960192
177	4.922798561
178	4.918194484
179	4.915989161
180	4.910353921
181	4.90702524
182	4.902404865
183	4.90015806
184	4.896455756
185	4.892387507
186	4.887353061
187	4.886048916
188	4.883650676
189	4.877919305
190	4.875324149
191	4.870462887
192	4.863457947
193	4.85825614
194	4.856129366
195	4.849410605
196	4.846800808
197	4.845537477
198	4.840390557
199	4.833807076
200	4.829948718
201	4.825151011
202	4.820153807
203	4.81471447
204	4.810658742
205	4.803597307
206	4.800151273
207	4.796497355
208	4.79165412
209	4.789068184
210	4.787480138
211	4.783045577
212	4.779691668
213	4.776230705
214	4.771640901
215	4.767594469
216	4.760257846
217	4.757068681
218	4.751706278
219	4.745564015
220	4.744825267
221	4.739345741
222	4.735133992
223	4.734177725
224	4.727552171
225	4.723746658
226	4.721593478
227	4.719208023
228	4.717427556
229	4.713456149
230	4.706919529
231	4.703312608
232	4.699741111
233	4.697535818
234	4.695431386
235	4.689079138
236	4.686841711
237	4.684834889
238	4.681128165
239	4.676911265
240	4.670080529
241	4.666624402
242	4.663610438
243	4.661290088
244	4.657419471
245	4.65310235
246	4.651741545
247	4.648096491
248	4.645057139
249	4.639180172
250	4.632698399
251	4.629493738
252	4.627550517
253	4.624481042
254	4.622573578
255	4.618509297
256	4.616987308
257	4.610333772
258	4.606860996
259	4.60324534
260	4.5984519
261	4.5955243
262	4.593693167
263	4.587387951
264	4.583982637
265	4.581816175
266	4.577788745
267	4.575489873
268	4.573619011
269	4.568700432
270	4.566187028
271	4.563811874
272	4.559601953
273	4.556428131
274	4.55239022
275	4.547299262
276	4.544794961
277	4.540292608
278	4.53820921
279	4.532428557
280	4.528762202
281	4.523632375
282	4.520168504
283	4.5173283
284	4.513211805
285	4.513028547
286	4.509258154
287	4.50626718
288	4.499964542
289	4.497003845
290	4.495478779
291	4.490483692
292	4.490005
293	4.488501085
294	4.487408285
295	4.485867547
296	4.480743941
297	4.4783435
298	4.474628597
299	4.470260979
300	4.468527581
301	4.46791317
302	4.463090759
303	4.461098344
304	4.45699937
305	4.452888959
306	4.446428992
307	4.44152716
308	4.437930836
309	4.436916037
310	4.434404854
311	4.429278687
312	4.42511974
313	4.420906675
314	4.41917746
315	4.415661665
316	4.414050166
317	4.413862169
318	4.409120851
319	4.404755871
